[People/NNS, show/VBP, their/PRP$, affection/NN, for/IN, each/DT, other/JJ, ./.] 	[A/DT, women/NNS, giving/VBG, something/NN, to/TO, other/JJ, lady/NN, ./.] 	1
[The/DT, man/NN, in/IN, the/DT, gray/JJ, hat/NN, has/VBZ, slipped/VBN, on/IN, the/DT, ice/NN, ./.] 	[The/DT, boy/NN, in/IN, the/DT, green/JJ, shirt/NN, swings/NNS, with/IN, one/CD, arm/NN, on/IN, the/DT, silver/NN, pole/NN, ./.] 	121
[Cyclist/NN, driving/VBG, bicycle/NN, ./.] 	[A/DT, skier/NN, skiing/NN, ./.] 	122
[Two/CD, people/NNS, sit/VBP, on/IN, a/DT, wooden/JJ, bench/NN, by/IN, the/DT, trees/NNS, in/IN, front/NN, of/IN, a/DT, white/JJ, building/NN, ./.] 	[Man/NN, laying/VBG, on/IN, a/DT, wooden/JJ, bench/NN, with/IN, other/JJ, people/NNS, in/IN, the/DT, background/NN, ./.] 	123
[Three/CD, dogs/NNS, look/VBP, like/IN, a/DT, human/JJ, holds/VBZ, a/DT, pink/JJ, ball/NN, on/IN, the/DT, beach/NN, ./.] 	[A/DT, man/NN, and/CC, a/DT, dog/NN, are/VBP, on/IN, the/DT, sand/NN, ./.] 	124
[A/DT, couple/NN, is/VBZ, walking/VBG, their/PRP$, dogs/NNS, outdoors/RB, ./.] 	[A/DT, couple/NN, are/VBP, walking/VBG, outdoors/RB, ./.] 	125
[A/DT, young/JJ, man/NN, dancing/NN, for/IN, a/DT, small/JJ, audience/NN, ./.] 	[A/DT, sad/JJ, woman/NN, putting/VBG, on/IN, a/DT, dance/NN, for/IN, a/DT, small/JJ, audience/NN, ./.] 	126
[Some/DT, cats/NNS, running/VBG, in/IN, the/DT, desert/NN] 	[The/DT, dogs/NNS, are/VBP, running/VBG, in/IN, the/DT, desert/NN, ./.] 	127
[A/DT, man/NN, in/IN, a/DT, blue/JJ, coat/NN, walks/VBZ, to/TO, a/DT, small/JJ, white/JJ, animal/NN, while/IN, a/DT, bus/NN, passes/VBZ, in/IN, the/DT, background/NN, ./.] 	[A/DT, person/NN, in/IN, a/DT, red/JJ, dress/NN, is/VBZ, running/VBG, behind/IN, a/DT, black/JJ, animal/NN, ./.] 	128
[The/DT, monks/NNS, were/VBD, playing/VBG, jump/NN, rope/NN, on/IN, the/DT, road/NN, ./.] 	[Two/CD, men/NNS, are/VBP, playing/VBG, jump/NN, rope/NN, in/IN, the/DT, middle/NN, of/IN, the/DT, street/NN, ./.] 	129
[Two/CD, women/NNS, are/VBP, climbing/VBG, ./.] 	[Two/CD, men/NNS, are/VBP, jumping/VBG, ./.] 	130
[An/DT, old/JJ, man/NN, skiing/NN, downhill/RB, while/IN, it/PRP, snows/VBZ, ./.] 	[A/DT, skier/NN, going/VBG, down/RP, the/DT, snowy/JJ, hill/NN, ./.] 	131
[The/DT, food/NN, is/VBZ, barbecue/NN] 	[the/DT, food/NN, is/VBZ, hot/JJ] 	132
[A/DT, family/NN, walks/VBZ, under/IN, large/JJ, wooden/JJ, beams/NNS, ./.] 	[A/DT, person/NN, sitting/VBG, under/IN, trees/NNS, and/CC, a/DT, large/JJ, metal/NN, sculpture/NN, ./.] 	133
[An/DT, orange/JJ, dragster/NN, parked/VBN, on/IN, the/DT, runway/NN, ./.] 	[A/DT, race/NN, car/NN, is/VBZ, on/IN, the/DT, dirt/NN, track/NN, ./.] 	134
[There/EX, are/VBP, at/IN, least/JJS, two/CD, males/NNS, ./.] 	[The/DT, two/CD, people/NNS, are/VBP, both/DT, males/NNS, ./.] 	135
[A/DT, boy/NN, and/CC, a/DT, woman/NN, are/VBP, in/IN, the/DT, snow/NN, sledding/NN, and/CC, playing/NN, ./.] 	[A/DT, man/NN, and/CC, a/DT, child/NN, are/VBP, sledding/NN, in/IN, the/DT, snow/NN, together/RB, ./.] 	136
[A/DT, young/JJ, boy/NN, in/IN, velcro/NN, shoes/NNS, and/CC, a/DT, blue/JJ, t-shirt/NN, hangs/VBZ, from/IN, a/DT, harness/NN, on/IN, a/DT, dock/NN, ./.] 	[A/DT, man/NN, in/IN, a/DT, blue/JJ, shirt/NN, is/VBZ, looking/VBG, up/RP, at/IN, a/DT, dog/NN, ./.] 	137
[The/DT, three/CD, actors/NNS, are/VBP, on/IN, the/DT, stage/NN, acting/VBG, ./.] 	[Two/CD, men/NNS, are/VBP, performing/VBG, on/IN, a/DT, stage/NN, ./.] 	138
[Emergency/NN, workers/NNS, with/IN, hoses/NNS, lined/VBD, up/RB, and/CC, down/RB, stairs/NNS, ./.] 	[Firemen/NNS, looking/VBG, down/RP, a/DT, set/NN, of/IN, stairs/NNS, ./.] 	139
[A/DT, man/NN, is/VBZ, kissing/VBG, with/IN, his/PRP$, wife/NN, in/IN, a/DT, crowd/NN, ./.] 	[A/DT, man/NN, is/VBZ, showing/VBG, off/RP, for/IN, his/PRP$, friends/NNS, ./.] 	140
[A/DT, guy/NN, paints/NNS, an/DT, ad/NN, ./.] 	[A/DT, man/NN, paints/NNS, a/DT, picture/NN, ./.] 	141
[Three/CD, children/NNS, sit/VBP, in/IN, an/DT, outdoor/JJ, seat/NN, ./.] 	[Two/CD, women/NNS, sitting/VBG, in/IN, a/DT, room/NN, ./.] 	142
[There/EX, is/VBZ, a/DT, man/NN, wearing/VBG, a/DT, yellow/JJ, shirt/NN, riding/VBG, a/DT, unicycle/NN, ./.] 	[There/EX, is/VBZ, a/DT, person/NN, wearing/VBG, a/DT, red/JJ, shirt/NN, riding/VBG, a/DT, skateboard/NN, ./.] 	143
[The/DT, boy/NN, in/IN, a/DT, bathing/NN, suit/NN, is/VBZ, lying/VBG, face/NN, down/RB, on/IN, a/DT, damp/JJ, pavement/NN, ./.] 	[A/DT, dog/NN, with/IN, mud/NN, stuck/VBD, on/IN, his/PRP$, underside/NN, is/VBZ, running/VBG, on/IN, grass/NN, ./.] 	144
[The/DT, girls/NNS, sing/VB] 	[people/NNS, dancing/VBG] 	145
[A/DT, young/JJ, asian/JJ, boy/NN, is/VBZ, giving/VBG, a/DT, young/JJ, asian/JJ, girl/NN, a/DT, ride/NN, on/IN, his/PRP$, shoulders/NNS] 	[A/DT, white/JJ, Asian/JJ, boy/NN, is/VBZ, giving/VBG, young/JJ, asian/JJ, girl/NN, a/DT, piggyback/NN, ride/NN, ./.] 	146
[A/DT, person/NN, is/VBZ, going/VBG, to/TO, work/VB, on/IN, his/PRP$, bicycle/NN, ./.] 	[There/EX, is/VBZ, a/DT, person/NN, working/VBG, on/IN, a/DT, bicycle/NN, ./.] 	147
[People/NNS, carrying/VBG, food/NN, in/IN, trays/NNS] 	[People/NNS, holding/VBG, containers/NNS, on/IN, alcohol/NN, ./.] 	148
[The/DT, fortunes/NNS, said/VBD, will/MD, turn/VB, out/RP, to/TO, be/VB, true/JJ, ./.] 	[The/DT, street/NN, post/NN, does/VBZ, not/RB, have/VB, anything/NN, on/IN, it/PRP, ./.] 	149
[A/DT, bicycle/NN, race/NN, in/IN, the/DT, snow/NN, stops/VBZ, while/IN, the/DT, cyclist/NN, 's/POS, bicycle/NN, is/VBZ, repaired/VBN, by/IN, a/DT, mechanic/NN, ./.] 	[This/DT, man/NN, is/VBZ, riding/VBG, a/DT, skateboard/NN, on/IN, a/DT, bike/NN, jump/NN, ./.] 	150
[A/DT, man/NN, standing/NN, in/IN, a/DT, shadow/NN, ./.] 	[A/DT, man/NN, is/VBZ, standing/VBG, on/IN, a/DT, ladder/NN, ./.] 	151
[Three/CD, brothers/NNS, posing/VBG, outside/IN, the/DT, family/NN, business/NN, ./.] 	[A/DT, group/NN, of/IN, friends/NNS, are/VBP, shopping/VBG, ./.] 	152
[A/DT, crowd/NN, watches/VBZ, a/DT, man/NN, cut/VBN, logs/NNS, ./.] 	[A/DT, blond-haired/JJ, man/NN, in/IN, a/DT, blue/JJ, shirt/NN, surrounded/VBN, by/IN, screens/NNS, sitting/VBG, at/IN, a/DT, desk/NN, and/CC, talking/VBG, into/IN, a/DT, microphone/NN, ./.] 	153
[The/DT, man/NN, is/VBZ, with/IN, a/DT, dog/NN, ./.] 	[The/DT, dog/NN, is/VBZ, with/IN, a/DT, woman/NN, ./.] 	154
[A/DT, well/RB, dressed/VBN, man/NN, walking/VBG, through/IN, a/DT, rural/JJ, area/NN] 	[A/DT, man/NN, and/CC, a/DT, boy/NN, are/VBP, walking/VBG, in/IN, a/DT, deserted/VBN, area/NN, ./.] 	155
[An/DT, African/JJ, American/JJ, woman/NN, looking/VBG, into/IN, a/DT, microscope/NN, with/IN, images/NNS, of/IN, microorganisms/NNS, on/IN, her/PRP$, desk/NN, ./.] 	[A/DT, woman/NN, and/CC, a/DT, girl/NN, view/NN, a/DT, piece/NN, of/IN, artwork/NN, up/RP, close/RB, ./.] 	156
[A/DT, shaved/VBD, man/NN, runs/NNS, at/IN, full/JJ, speed/NN, down/IN, the/DT, sidewalk/NN, with/IN, a/DT, white/JJ, leotard/NN, ./.] 	[A/DT, young/JJ, woman/NN, with/IN, a/DT, shave/VBP, head/NN, in/IN, a/DT, brown/JJ, skirt/NN, and/CC, sandals/NNS, walking/VBG, past/IN, a/DT, stone/NN, building/NN, ./.] 	157
[A/DT, woman/NN, and/CC, a/DT, man/NN, are/VBP, kissing/VBG, on/IN, the/DT, boardwalk/NN, ./.] 	[A/DT, man/NN, is/VBZ, sleeping/VBG, between/IN, two/CD, flags/NNS, ./.] 	158
[A/DT, man/NN, standing/NN, on/IN, a/DT, cliff/NN, ./.] 	[A/DT, man/NN, on/IN, a/DT, cliff/NN, ./.] 	159
[The/DT, bird/NN, is/VBZ, on/IN, the/DT, tree/NN] 	[The/DT, bird/NN, sits/VBZ, on/IN, the/DT, tree/NN, branch/NN, ./.] 	160
[Cyclists/NNS, in/IN, a/DT, bicycle/NN, race/NN, turn/NN, abruptly/RB, to/TO, the/DT, left/NN, ./.] 	[A/DT, rally/NN, race/NN, car/NN, is/VBZ, navigating/VBG, around/RP, a/DT, turn/NN, on/IN, a/DT, race/NN, course/NN, surrounded/VBN, by/IN, hay/NN, bails/NNS, ./.] 	161
[Two/CD, women/NNS, compete/VBP, in/IN, a/DT, kick-boxing/JJ, fight/NN, ./.] 	[Two/CD, women/NNS, compete/VBP, in/IN, a/DT, soccer/NN, match/NN, ./.] 	162
[Women/NNS, are/VBP, auditioning/VBG, for/IN, Swan/NN, Lake/NN, ./.] 	[Some/DT, boys/NNS, are/VBP, going/VBG, swimming/NN, in/IN, the/DT, lake/NN, ./.] 	163
[The/DT, children/NNS, are/VBP, playing/VBG, football/NN, ./.] 	[The/DT, boys/NNS, are/VBP, playing/VBG, baseball/NN, ./.] 	164
[Two/CD, children/NNS, are/VBP, sitting/VBG, on/IN, a/DT, beach/NN, ./.] 	[Two/CD, girls/NNS, prepare/VBP, a/DT, small/JJ, sailboat/NN, as/IN, two/CD, boys/NNS, watch/VBP, them/PRP, from/IN, the/DT, beach/NN, ./.] 	165
[He/PRP, successfully/RB, completes/VBZ, a/DT, set/NN, of/IN, martial/JJ, arts/NNS, moves/NNS, ./.] 	[A/DT, martial/JJ, arts/NNS, student/NN, kicks/VBZ, a/DT, wooden/JJ, board/NN, to/TO, advance/NN, in/IN, his/PRP$, rank/NN, ./.] 	166
[The/DT, man/NN, with/IN, the/DT, yellow/JJ, team/NN, is/VBZ, about/IN, to/TO, rappel/VB, from/IN, a/DT, high/JJ, distance/NN, ./.] 	[A/DT, person/NN, in/IN, black/JJ, is/VBZ, off/RB, in/IN, the/DT, distance/NN, ./.] 	167
[Construction/NN, workers/NNS, sit/VBP, near/IN, a/DT, railroad/NN, track/NN, ./.] 	[A/DT, line/NN, of/IN, construction/NN, workers/NNS, walk/VBP, along/IN, a/DT, train/NN, track/NN, under/IN, an/DT, overpass/NN, ./.] 	168
[The/DT, grumpy/JJ, guy/NN, is/VBZ, playing/VBG, an/DT, instrument/NN, outside/IN] 	[there/EX, is/VBZ, a/DT, guy/NN, playing/VBG, an/DT, instrument/NN, ./.] 	169
[Three/CD, photographers/NNS, taking/VBG, a/DT, picture/NN, of/IN, a/DT, skater/NN, doing/VBG, a/DT, trick/NN, on/IN, one/CD, of/IN, the/DT, photographers/NNS, ./.] 	[The/DT, photographer/NNP, is/VBZ, taking/VBG, a/DT, picture/NN, of/IN, four/CD, women/NNS, looking/VBG, at/IN, the/DT, camera/NN, with/IN, blank/JJ, faces/NNS, ./.] 	170
[Three/CD, young/JJ, men/NNS, stand/VBP, against/IN, a/DT, wall/NN, conversing/VBG, as/IN, a/DT, young/JJ, boy/NN, looks/VBZ, forward/RB, holding/VBG, a/DT, poster/NN, ./.] 	[Two/CD, young/JJ, boys/NNS, hold/VBP, a/DT, man/NN, 's/POS, hands/NNS, ./.] 	171
[Small/JJ, Asian/JJ, children/NNS, getting/VBG, ready/JJ, for/IN, a/DT, sport/NN, game/NN, ./.] 	[The/DT, kids/NNS, are/VBP, playing/VBG, a/DT, friendly/JJ, game/NN, of/IN, one/CD, on/IN, one/CD, soccer/NN, ./.] 	172
[A/DT, man/NN, is/VBZ, roasting/VBG, duck/NN, in/IN, his/PRP$, oven/NN] 	[A/DT, man/NN, having/VBG, a/DT, piece/NN, of/IN, chicken/NN, ./.] 	173
[The/DT, performance/NN, will/MD, be/VB, on/IN, the/DT, news/NN, ./.] 	[The/DT, sign/NN, has/VBZ, at/IN, least/JJS, one/CD, word/NN, on/IN, it/PRP, ./.] 	174
[A/DT, dog/NN, sniffs/VBZ, another/DT, dog/NN, ./.] 	[a/DT, dog/NN, chases/VBZ, another/DT, dog/NN, ./.] 	175
[The/DT, musician/NN, decided/VBD, to/TO, stay/VB, home/NN, tonight/NN, ./.] 	[The/DT, man/NN, waited/VBD, until/IN, night/NN, to/TO, go/VB, home/NN, ./.] 	176
[The/DT, two/CD, men/NNS, in/IN, blue/JJ, jackets/NNS, are/VBP, brothers/NNS, ./.] 	[The/DT, two/CD, men/NNS, in/IN, blue/JJ, jackets/NNS, are/VBP, sitting/VBG, down/RP, ./.] 	177
[Several/JJ, people/NNS, are/VBP, walking/VBG, ./.] 	[There/EX, are/VBP, several/JJ, people/NNS, walking/VBG, ./.] 	178
[A/DT, farmer/NN, gathers/VBZ, his/PRP$, cows/NNS, ./.] 	[A/DT, farmer/NN, drives/NNS, on/IN, two/CD, cattle/NNS, to/TO, plow/VB, a/DT, field/NN, for/IN, his/PRP$, work/NN, as/IN, he/PRP, grows/VBZ, corn/NN, crops/NNS] 	179
[Three/CD, people/NNS, stare/VBP, at/IN, the/DT, screens/NNS, of/IN, the/DT, mobile/JJ, phone/NN, ./.] 	[Three/CD, people/NNS, are/VBP, smiling/VBG, at/IN, the/DT, camera/NN, ./.] 	180
[A/DT, woman/NN, tries/VBZ, to/TO, keep/VB, children/NNS, away/RB, from/IN, her/PRP$, parents/NNS, ./.] 	[Man/NN, giving/VBG, the/DT, child/NN, back/RB, to/TO, parents/NNS] 	181
[A/DT, man/NN, comes/VBZ, to/TO, work/VB, with/IN, the/DT, cables/NNS, above/IN, a/DT, desk/NN, ./.] 	[Man/NN, puts/VBZ, his/PRP$, feet/NNS, up/RP, on/IN, a/DT, desk/NN, ./.] 	182
[The/DT, rock/NN, is/VBZ, about/IN, to/TO, fall/VB, on/IN, the/DT, man/NN, ./.] 	[The/DT, rock/NN, holding/VBG, the/DT, boy/NN, is/VBZ, about/IN, to/TO, roll/VB, ./.] 	183
[The/DT, girl/NN, is/VBZ, walking/VBG] 	[the/DT, boy/NN, is/VBZ, walking/VBG] 	184
[A/DT, child/NN, wears/VBZ, a/DT, David/NNP, Wright/NNP, T-shirt/NNS, outdoors/RB, ./.] 	[A/DT, young/JJ, man/NN, is/VBZ, wearing/VBG, a/DT, suit/NN, outdoors/RB, ./.] 	185
[The/DT, man/NN, 's/POS, sweatshirt/NN, is/VBZ, gray/JJ, ./.] 	[the/DT, man/NN, is/VBZ, wearing/VBG, gray/JJ] 	186
[A/DT, woman/NN, wearing/VBG, black/JJ, pants/NNS, is/VBZ, holding/VBG, a/DT, piercing/VBG, hammer/NN, next/IN, to/TO, a/DT, broken/JJ, concrete/JJ, walkway/NN, ./.] 	[A/DT, woman/NN, wearing/VBG, a/DT, blue/JJ, skirt/NN, is/VBZ, on/IN, a/DT, walkway/NN, looking/VBG, at/IN, a/DT, body/NN, of/IN, water/NN, ./.] 	187
[A/DT, group/NN, of/IN, people/NNS, pose/VBP, in/IN, front/NN, of/IN, the/DT, ocean/NN, ./.] 	[A/DT, small/JJ, group/NN, of/IN, people/NNS, are/VBP, sitting/VBG, on/IN, the/DT, bank/NN, of/IN, a/DT, large/JJ, body/NN, of/IN, water/NN, in/IN, the/DT, grass/NN, ./.] 	188
[A/DT, man/NN, and/CC, a/DT, boy/NN, are/VBP, fixing/VBG, a/DT, truck/NN, in/IN, a/DT, garage/NN, ./.] 	[A/DT, man/NN, is/VBZ, working/VBG, on/IN, a/DT, truck/NN, ./.] 	189
[A/DT, guy/NN, repairs/NNS, a/DT, jacket/NN, ./.] 	[A/DT, man/NN, repairs/NNS, a/DT, shoe/NN, ./.] 	190
[The/DT, man/NN, dances/NNS, in/IN, the/DT, street/NN, while/IN, another/DT, man/NN, looks/VBZ, ./.] 	[A/DT, woman/NN, and/CC, a/DT, man/NN, are/VBP, dancing/VBG, in/IN, the/DT, street/NN, ./.] 	191
[Boys/NNS, play/VBP, in/IN, a/DT, park/NN] 	[people/NNS, playing/VBG, a/DT, game/NN, at/IN, the/DT, park/NN] 	192
[Two/CD, competitors/NNS, are/VBP, in/IN, a/DT, race/NN, ./.] 	[Three/CD, runners/NNS, are/VBP, racing/VBG, ./.] 	193
[The/DT, men/NNS, in/IN, blue/JJ, stand/NN, at/IN, the/DT, column/NN, ./.] 	[Woman/NNP, in/IN, pink/JJ, top/JJ, walking/VBG, past/JJ, 3/CD, men/NNS, sitting/VBG, on/IN, the/DT, steps/NNS, ./.] 	194
[An/DT, old/JJ, woman/NN, looks/VBZ, at/IN, life/NN, on/IN, a/DT, park/NN, bench/NN, ./.] 	[An/DT, old/JJ, man/NN, lays/VBZ, on/IN, a/DT, park/NN, bench/NN, ./.] 	195
[A/DT, dental/JJ, procedure/NN, ./.] 	[A/DT, child/NN, is/VBZ, receiving/VBG, painful/JJ, dental/JJ, surgery/NN] 	196
[Children/NNS, have/VBP, very/RB, clean/JJ, faces/NNS, ./.] 	[Some/DT, people/NNS, are/VBP, making/VBG, funny/JJ, faces/NNS, while/IN, they/PRP, get/VBP, their/PRP$, picture/NN, taken/VBN, ./.] 	197
[The/DT, couple/NN, was/VBD, away/RB, on/IN, their/PRP$, honeymoon/NN] 	[The/DT, couple/NN, smiles/VBZ, before/IN, leaving/VBG, for/IN, their/PRP$, honeymoon/NN, ./.] 	198
[Sled/VBN, dogs/NNS, are/VBP, outside/JJ, ./.] 	[The/DT, dogs/NNS, are/VBP, pulling/VBG, a/DT, sled/NN, ./.] 	199
[A/DT, group/NN, of/IN, butchers/NNS, are/VBP, trying/VBG, recipes/NNS, made/VBN, with/IN, meat/NN, that/IN, they/PRP, cut/VBD, ./.] 	[The/DT, cooks/NNS, are/VBP, putting/VBG, together/RP, the/DT, ingredients/NNS, for/IN, a/DT, massive/JJ, burrito/NN, ./.] 	200
[A/DT, man/NN, doing/VBG, windsurfing/NN, in/IN, the/DT, ocean/NN, ./.] 	[A/DT, man/NN, is/VBZ, snorkeling/VBG, in/IN, the/DT, ocean/NN, ./.] 	201
[A/DT, child/NN, on/IN, the/DT, shoulders/NNS, of/IN, a/DT, man/NN, ./.] 	[a/DT, man/NN, and/CC, a/DT, boy/NN, in/IN, shorts/NNS, stand/VBP, on/IN, a/DT, bridge/NN] 	202
[A/DT, man/NN, in/IN, a/DT, skating/NN, park/NN, is/VBZ, doing/VBG, an/DT, ollie/NN, in/IN, a/DT, half-pipe/NN, in/IN, front/NN, of/IN, the/DT, beach/NN] 	[A/DT, man/NN, in/IN, a/DT, skate/NN, park/NN, is/VBZ, doing/VBG, an/DT, ollie/NN, in/IN, a/DT, half-pipe/NN, near/IN, the/DT, beach/NN] 	203
[The/DT, man/NN, has/VBZ, a/DT, beard/NN, ./.] 	[A/DT, bearded/JJ, man/NN, is/VBZ, outside/JJ, ./.] 	204
[Two/CD, women/NNS, waiting/VBG, for/IN, the/DT, light/NN, of/IN, the/DT, pedestrian/JJ, crossing/VBG, to/TO, change/VB, to/TO, green/JJ, ./.] 	[The/DT, people/NNS, are/VBP, waiting/VBG, for/IN, the/DT, light/NN, to/TO, turn/VB, green/JJ, ./.] 	205
[Women/NNS, clean/VBP, the/DT, debris/NN, left/VBD, on/IN, their/PRP$, porch/NN] 	[Woman/NNP, inside/IN, sweeping/VBG, the/DT, floor/NN, ./.] 	206
[Illegal/JJ, loggers/NNS, felled/VBD, a/DT, giant/JJ, tree/NN, in/IN, the/DT, spring/NN, forest/NN, ./.] 	[The/DT, spotted/JJ, dog/NN, chews/NNS, on/IN, the/DT, bark/NN, of/IN, a/DT, pine/VBP, tree/NN, ./.] 	207
[An/DT, athlete/NN, is/VBZ, moving/VBG, ./.] 	[The/DT, athlete/NN, is/VBZ, moving/VBG, ./.] 	208
[The/DT, two/CD, children/NNS, are/VBP, playing/VBG, hide/VB, and/CC, seek/VB, ./.] 	[the/DT, boys/NNS, are/VBP, home/NN, playing/VBG, hide/VB, and/CC, seek/VB] 	209
[A/DT, man/NN, wears/VBZ, a/DT, hat/NN, and/CC, waits/VBZ, for/IN, a/DT, bus/NN, ./.] 	[A/DT, man/NN, in/IN, a/DT, blue/JJ, shirt/NN, and/CC, a/DT, hat/NN, is/VBZ, sitting/VBG, in/IN, a/DT, truck/NN, ./.] 	210
[A/DT, man/NN, building/VBG, his/PRP$, house/NN, ./.] 	[A/DT, man/NN, building/VBG, a/DT, house/NN, ./.] 	211
[Garden/NN, tools/NNS, are/VBP, in/IN, the/DT, greenhouse/NN] 	[The/DT, street/NN, is/VBZ, empty/JJ, and/CC, the/DT, buildings/NNS, are/VBP, white/JJ, ./.] 	212
[She/PRP, is/VBZ, walking/VBG, through/IN, the/DT, public/JJ, park/NN, ./.] 	[A/DT, person/NN, is/VBZ, walking/VBG, through/IN, the/DT, park/NN, ./.] 	213
[A/DT, man/NN, in/IN, a/DT, red/JJ, sweater/NN, is/VBZ, waiting/VBG, at/IN, a/DT, street/NN, food/NN, stand/NN, ./.] 	[A/DT, little/JJ, girl/NN, is/VBZ, standing/VBG, on/IN, the/DT, street/NN, ,/,, holding/VBG, a/DT, red/JJ, bag/NN, ./.] 	214
[A/DT, man/NN, has/VBZ, brown/JJ, hair/NN, along/IN, with/IN, a/DT, woman/NN, who/WP, has/VBZ, blonde/JJ, hair/NN, ./.] 	[a/DT, women/NNS, with/IN, blonde/JJ, and/CC, brown/JJ, hair/NN, has/VBZ, her/PRP$, arms/NNS, around/IN, a/DT, man/NN] 	215
[A/DT, little/JJ, boy/NN, is/VBZ, outside/JJ, ./.] 	[A/DT, woman/NN, is/VBZ, near/IN, a/DT, little/JJ, kid/NN, ./.] 	216
[A/DT, man/NN, juggles/VBZ, a/DT, crowd/NN, ./.] 	[A/DT, man/NN, and/CC, a/DT, crowd/NN, ./.] 	217
[A/DT, black/JJ, dog/NN, running/VBG, very/RB, fast/RB, with/IN, a/DT, blond/JJ, woman/NN, running/VBG, after/IN, him/PRP, in/IN, the/DT, background/NN, ./.] 	[A/DT, young/JJ, girl/NN, doing/VBG, a/DT, back/RB, flip/JJ, in/IN, the/DT, water/NN, ./.] 	218
[A/DT, woman/NN, sitting/VBG, on/IN, a/DT, chair/NN, showing/VBG, children/NNS, a/DT, book/NN, ./.] 	[A/DT, female/JJ, child/NN, turns/VBZ, the/DT, page/NN, of/IN, a/DT, book/NN, while/IN, she/PRP, sits/VBZ, on/IN, a/DT, colorful/JJ, stool/NN] 	219
[Two/CD, men/NNS, in/IN, suits/NNS, are/VBP, cycling/VBG, through/IN, a/DT, crosswalk/NN, ./.] 	[Two/CD, men/NNS, are/VBP, jogging/NN, on/IN, a/DT, trail/NN, ./.] 	220
[Two/CD, men/NNS, taking/VBG, the/DT, warm/JJ, sun/NN, ./.] 	[The/DT, men/NNS, are/VBP, in/IN, the/DT, hot/JJ, sun/NN, ./.] 	221
[Two/CD, people/NNS, are/VBP, standing/VBG, outside/IN, a/DT, shop/NN, on/IN, a/DT, city/NN, street/NN, ./.] 	[The/DT, people/NNS, are/VBP, standing/VBG, in/IN, a/DT, crowded/JJ, store/NN, ./.] 	222
[Bicycles/NNS, are/VBP, on/IN, a/DT, road/NN, ./.] 	[Bicycles/NNS, are/VBP, laying/VBG, on/IN, the/DT, side/NN, of/IN, the/DT, road/NN, ./.] 	223
[People/NNS, pay/VBP, for/IN, their/PRP$, purchases/NNS, in/IN, the/DT, store/NN, ./.] 	[Families/NNS, wait/VBP, to/TO, enter/VB, the/DT, store/NN, for/IN, a/DT, big/JJ, sale/NN, ./.] 	224
[The/DT, guy/NN, is/VBZ, at/IN, home/NN, sleeping/NN, ./.] 	[The/DT, guy/NN, is/VBZ, sleeping/VBG, at/IN, home/NN, ./.] 	225
[The/DT, boy/NN, finished/VBD, opening/VBG, all/PDT, his/PRP$, Christmas/NNP, presents/NNS, ./.] 	[A/DT, woman/NN, is/VBZ, in/IN, the/DT, process/NN, of/IN, changing/VBG, her/PRP$, clothes/NNS, for/IN, her/PRP$, big/JJ, date/NN, tonight/NN, ./.] 	226
[People/NNS, are/VBP, happy/JJ, to/TO, be/VB, on/IN, the/DT, beach/NN, ./.] 	[People/NNS, are/VBP, at/IN, a/DT, beach/NN, ./.] 	227
[The/DT, lady/NN, is/VBZ, sitting/VBG, near/IN, the/DT, fruit/NN, ./.] 	[A/DT, lady/NN, in/IN, green/JJ, is/VBZ, walking/VBG, outside/RB, ./.] 	228
[The/DT, white/JJ, child/NN, is/VBZ, on/IN, the/DT, bars/NNS, ,/,, while/IN, the/DT, brown/JJ, is/VBZ, on/IN, the/DT, bottom/NN, ./.] 	[The/DT, two/CD, girls/NNS, are/VBP, in/IN, the/DT, water/NN, and/CC, one/CD, has/VBZ, a/DT, white/JJ, shirt/NN, on/IN, ./.] 	229
[Waitress/NN, working/VBG, at/IN, a/DT, restaurant/NN, cutting/VBG, watermelon/NN, ./.] 	[a/DT, restaurant/NN, makes/VBZ, vegetables/NNS, for/IN, everyone/NN, who/WP, enters/VBZ] 	230
[A/DT, man/NN, is/VBZ, shopping/VBG, in/IN, the/DT, middle/NN, ./.] 	[A/DT, man/NN, is/VBZ, shopping/VBG, in/IN, a/DT, mall/NN, ./.] 	231
[A/DT, hockey/NN, player/NN, is/VBZ, skating/VBG, on/IN, ice/NN, ./.] 	[A/DT, hockey/NN, player/NN, is/VBZ, sitting/VBG, on/IN, the/DT, ice/NN, ./.] 	232
[There/EX, 's/VBZ, a/DT, woman/NN, riding/VBG, a/DT, horse/NN, ./.] 	[A/DT, person/NN, is/VBZ, riding/VBG, a/DT, horse/NN, outside/NN, ./.] 	233
[A/DT, man/NN, in/IN, a/DT, store/NN] 	[A/DT, man/NN, in/IN, a/DT, supermarket/NN, ./.] 	234
[A/DT, man/NN, jumping/VBG, in/IN, the/DT, air/NN] 	[A/DT, man/NN, is/VBZ, jumping/VBG, into/IN, the/DT, air/NN, ./.] 	235
[The/DT, dog/NN, is/VBZ, asleep/RB, in/IN, bed/NN, ./.] 	[A/DT, dog/NN, is/VBZ, asleep/RB, on/IN, the/DT, bed/NN, ./.] 	236
[Three/CD, swimmers/NNS, are/VBP, getting/VBG, ready/JJ, to/TO, start/VB, their/PRP$, swimming/NN, competition/NN, ./.] 	[The/DT, swimming/NN, competitors/NNS, prepare/VBP, for/IN, their/PRP$, meet/VB, ./.] 	237
