[nummod(men-2, two-1), nsubj(crying-4, men-2), aux(crying-4, are-3), root(ROOT-0, crying-4)] 	[nummod(men-2, Two-1), nsubj(laughing-3, men-2), root(ROOT-0, laughing-3), punct(laughing-3, .-4)] 	1
[det(people-2, The-1), nsubj(standing-4, people-2), aux(standing-4, are-3), root(ROOT-0, standing-4), case(line-6, in-5), nmod:in(standing-4, line-6), case(slide-10, at-7), det(slide-10, the-8), compound(slide-10, water-9), nmod:at(line-6, slide-10), punct(standing-4, .-11)] 	[det(group-2, A-1), nsubj(look-5, group-2), case(people-4, of-3), nmod:of(group-2, people-4), root(ROOT-0, look-5), case(fence-8, through-6), det(fence-8, the-7), nmod:through(look-5, fence-8), case(water-11, on-9), det(water-11, the-10), nmod:on(fence-8, water-11), cc(water-11, and-12), conj:and(water-11, land-13), acl(water-11, covered-14), case(fog-16, by-15), nmod:by(covered-14, fog-16), punct(look-5, .-17)] 	58
[det(child-2, A-1), nsubj(laying-4, child-2), aux(laying-4, is-3), root(ROOT-0, laying-4), case(bed-7, in-5), det(bed-7, a-6), nmod:in(laying-4, bed-7), case(setting-11, in-8), det(setting-11, a-9), amod(setting-11, medical-10), nmod:in(laying-4, setting-11), punct(laying-4, .-12)] 	[root(ROOT-0, Child-1), case(bed-3, in-2), nmod:in(Child-1, bed-3), punct(Child-1, .-4)] 	59
[det(woman-2, A-1), nsubj(pops-3, woman-2), root(ROOT-0, pops-3), det(bubble-5, a-4), dobj(pops-3, bubble-5), punct(pops-3, .-6)] 	[compound(bubble-3, Girl-1), amod(bubble-3, blowing-2), root(ROOT-0, bubble-3), case(stick-5, by-4), nmod:by(bubble-3, stick-5)] 	60
[det(men-4, The-1), nummod(men-4, 2-2), amod(men-4, drunk-3), nsubj(standing-6, men-4), aux(standing-6, are-5), root(ROOT-0, standing-6), case(street-9, in-7), det(street-9, the-8), nmod:in(standing-6, street-9), xcomp(standing-6, getting-10), xcomp(getting-10, ready-11), case(fight-15, for-12), det(fight-15, a-13), compound(fight-15, fist-14), nmod:for(ready-11, fight-15), punct(standing-6, .-16)] 	[det(man-2, The-1), root(ROOT-0, man-2), case(shirt-6, with-3), det(shirt-6, the-4), amod(shirt-6, red-5), nmod:with(man-2, shirt-6), acl(shirt-6, sitting-7), case(car-10, in-8), nmod:poss(car-10, his-9), nmod:in(sitting-7, car-10), acl(car-10, waiting-11), case(rain-14, for-12), det(rain-14, the-13), nmod:for(waiting-11, rain-14), mark(stop-16, to-15), xcomp(waiting-11, stop-16)] 	61
[det(dog-2, The-1), nsubj(chasing-4, dog-2), aux(chasing-4, is-3), root(ROOT-0, chasing-4), det(lizard-6, a-5), dobj(chasing-4, lizard-6), punct(chasing-4, .-7)] 	[nsubj(chasing-2, Dog-1), root(ROOT-0, chasing-2), det(ghost-4, a-3), dobj(chasing-2, ghost-4), punct(chasing-2, .-5)] 	62
[det(women-2, A-1), nsubj(walking-7, women-2), cc(women-2, and-3), nummod(children-5, two-4), conj:and(women-2, children-5), aux(walking-7, are-6), root(ROOT-0, walking-7), case(buildings-9, between-8), nmod:between(walking-7, buildings-9), case(rain-12, in-10), det(rain-12, the-11), nmod:in(walking-7, rain-12), case(umbrella-15, with-13), det(umbrella-15, an-14), nmod:with(rain-12, umbrella-15), punct(walking-7, .-16)] 	[nummod(women-2, Two-1), root(ROOT-0, women-2), case(field-5, in-3), det(field-5, a-4), nmod:in(women-2, field-5), case(buildings-8, with-6), neg(buildings-8, no-7), nmod:with(field-5, buildings-8), acl(buildings-8, surrounded-9), nmod(surrounded-9, by-10), punct(women-2, .-11)] 	63
[det(person-2, A-1), nsubj(asking-3, person-2), root(ROOT-0, asking-3), case(directions-5, for-4), nmod:for(asking-3, directions-5)] 	[nsubj(asks-2, Someone-1), root(ROOT-0, asks-2), case(guidance-4, for-3), nmod:for(asks-2, guidance-4), punct(asks-2, .-5)] 	64
[det(woman-2, The-1), nsubj(trying-4, woman-2), aux(trying-4, is-3), root(ROOT-0, trying-4), mark(make-6, to-5), xcomp(trying-4, make-6), det(man-8, the-7), nsubj(get-9, man-8), ccomp(make-6, get-9), compound:prt(get-9, up-10), punct(trying-4, .-11)] 	[amod(tourists-3, Wife-1), amod(tourists-3, angry-2), root(ROOT-0, tourists-3), case(man-6, from-4), det(man-6, the-5), nmod:from(tourists-3, man-6), nsubj(work-10, who-7), aux(work-10, can-8), neg(work-10, not-9), acl:relcl(man-6, work-10), nmod:poss(mind-12, his-11), dobj(work-10, mind-12), punct(tourists-3, .-13)] 	65
[compound(cops-3, Roller-1), compound(cops-3, blade-2), nsubj(talking-5, cops-3), aux(talking-5, are-4), root(ROOT-0, talking-5), punct(talking-5, .-6)] 	[amod(men-2, Few-1), nsubj(background-5, men-2), cop(background-5, are-3), compound(background-5, leap-4), root(ROOT-0, background-5), punct(background-5, .-6)] 	66
[det(human-3, A-1), amod(human-3, tall-2), nsubj(falling-4, human-3), root(ROOT-0, falling-4)] 	[amod(man-2, Tall-1), nsubj(jumped-3, man-2), root(ROOT-0, jumped-3), punct(jumped-3, .-4)] 	67
[det(farmer-3, A-1), amod(farmer-3, Chinese-2), nsubj(working-5, farmer-3), aux(working-5, is-4), root(ROOT-0, working-5), case(field-9, in-6), det(field-9, a-7), compound(field-9, rice-8), nmod:in(working-5, field-9)] 	[amod(farmer-2, Asian-1), nsubj(walking-3, farmer-2), root(ROOT-0, walking-3), case(field-7, in-4), det(field-7, a-5), compound(field-7, rice-6), nmod:in(walking-3, field-7), case(ox-10, with-8), det(ox-10, an-9), nmod:with(field-7, ox-10), punct(walking-3, .-11)] 	68
[det(father-2, A-1), nsubj(rides-3, father-2), root(ROOT-0, rides-3), det(horse-5, a-4), dobj(rides-3, horse-5), mark(stands-9, while-6), nmod:poss(daughter-8, his-7), nsubj(stands-9, daughter-8), advcl(rides-3, stands-9), advmod(stands-9, nearby-10), punct(rides-3, .-11)] 	[det(man-2, A-1), nsubj(ride-7, man-2), acl(man-2, riding-3), det(bike-5, a-4), dobj(riding-3, bike-5), punct(ride-7, ,-6), root(ROOT-0, ride-7), nmod:poss(daughter-9, his-8), dobj(ride-7, daughter-9), case(side-12, by-10), nmod:poss(side-12, his-11), nmod:by(ride-7, side-12), punct(ride-7, .-13)] 	69
[det(men-2, The-1), nsubj(try-3, men-2), root(ROOT-0, try-3), mark(show-5, to-4), xcomp(try-3, show-5), det(coach-7, the-6), dobj(show-5, coach-7), dobj(made-11, what-8), nsubjpass(made-11, they-9), auxpass(made-11, 're-10), acl:relcl(coach-7, made-11), nmod(made-11, of-12), punct(try-3, .-13)] 	[det(men-2, Both-1), nsubj(wheel-6, men-2), cop(wheel-6, are-3), case(wheel-6, at-4), det(wheel-6, the-5), root(ROOT-0, wheel-6), mark(commanded-8, of-7), acl(wheel-6, commanded-8), dobj(commanded-8, them-9), mark(get-11, to-10), xcomp(commanded-8, get-11), det(job-13, the-12), nsubj(done-14, job-13), ccomp(get-11, done-14), punct(wheel-6, .-15)] 	70
[det(man-2, a-1), nsubj(smokes-3, man-2), root(ROOT-0, smokes-3), det(cigarette-5, a-4), dobj(smokes-3, cigarette-5), punct(smokes-3, .-6)] 	[compound(smoking-2, Woman-1), root(ROOT-0, smoking-2), det(cigarette-4, a-3), dobj(smoking-2, cigarette-4)] 	71
[det(player-2, A-1), nsubj(catches-3, player-2), root(ROOT-0, catches-3), det(football-5, the-4), dobj(catches-3, football-5), case(zone-9, in-6), det(zone-9, the-7), compound(zone-9, end-8), nmod:in(catches-3, zone-9), punct(catches-3, .-10)] 	[compound(player-2, Football-1), nsubj(runs-3, player-2), root(ROOT-0, runs-3), case(region-7, to-4), det(region-7, the-5), amod(region-7, latter-6), nmod:to(runs-3, region-7), punct(runs-3, .-8)] 	72
[det(band-2, The-1), nsubj(performing-4, band-2), aux(performing-4, is-3), root(ROOT-0, performing-4), case(stage-7, on-5), det(stage-7, a-6), nmod:on(performing-4, stage-7), punct(performing-4, .-8)] 	[det(band-2, The-1), root(ROOT-0, band-2), case(stage-4, on-3), nmod:on(band-2, stage-4), punct(band-2, .-5)] 	73
[det(beam-2, The-1), nsubj(place-6, beam-2), cop(place-6, is-3), advmod(place-6, firmly-4), case(place-6, in-5), root(ROOT-0, place-6), punct(place-6, .-7)] 	[nsubj(lighting-2, Proven-1), root(ROOT-0, lighting-2), det(lamp-4, the-3), dobj(lighting-2, lamp-4), case(floor-7, on-5), det(floor-7, the-6), nmod:on(lighting-2, floor-7), punct(lighting-2, .-8)] 	74
[det(family-2, The-1), nsubj(gets-3, family-2), root(ROOT-0, gets-3), det(portrait-5, a-4), dobj(gets-3, portrait-5), acl(portrait-5, taken-6)] 	[det(man-2, The-1), nsubj(picks-3, man-2), root(ROOT-0, picks-3), compound:prt(picks-3, up-4), det(picture-6, a-5), dobj(picks-3, picture-6), case(girlfriend-9, of-7), nmod:poss(girlfriend-9, his-8), nmod:of(picture-6, girlfriend-9), punct(picks-3, .-10)] 	75
[det(group-2, A-1), nsubj(stretching-6, group-2), case(children-4, of-3), nmod:of(group-2, children-4), aux(stretching-6, are-5), root(ROOT-0, stretching-6), punct(stretching-6, .-7)] 	[expl(are-2, There-1), root(ROOT-0, are-2), det(group-4, a-3), nsubj(are-2, group-4), case(children-6, of-5), nmod:of(group-4, children-6), advmod(group-4, abroad-7), punct(are-2, .-8)] 	76
[nsubj(walk-2, People-1), root(ROOT-0, walk-2), case(juggling-7, by-3), case(juggling-7, through-4), det(juggling-7, a-5), compound(juggling-7, city-6), nmod:through(walk-2, juggling-7), punct(walk-2, .-8)] 	[nsubj(walk-2, People-1), root(ROOT-0, walk-2), case(city-5, through-3), det(city-5, the-4), nmod:through(walk-2, city-5), punct(walk-2, .-6)] 	77
[det(man-2, The-1), nsubj(walking-4, man-2), aux(walking-4, is-3), root(ROOT-0, walking-4), case(mural-7, by-5), det(mural-7, a-6), nmod:by(walking-4, mural-7), punct(walking-4, .-8)] 	[det(man-2, A-1), nsubj(walks-3, man-2), root(ROOT-0, walks-3), case(plate-6, from-4), det(plate-6, the-5), nmod:from(walks-3, plate-6), punct(walks-3, .-7)] 	78
[det(woman-3, A-1), amod(woman-3, lone-2), nsubj(walks-4, woman-3), root(ROOT-0, walks-4), case(surf-7, in-5), det(surf-7, the-6), nmod:in(walks-4, surf-7), case(beach-10, at-8), det(beach-10, the-9), nmod:at(walks-4, beach-10), punct(walks-4, .-11)] 	[det(woman-2, A-1), nsubj(walks-3, woman-2), root(ROOT-0, walks-3), case(waves-6, among-4), det(waves-6, the-5), nmod:among(walks-3, waves-6), case(beach-9, on-7), det(beach-9, the-8), nmod:on(waves-6, beach-9), punct(walks-3, .-10)] 	79
[det(man-2, A-1), root(ROOT-0, man-2), case(shirt-6, in-3), det(shirt-6, a-4), amod(shirt-6, white-5), nmod:in(man-2, shirt-6), cc(shirt-6, and-7), det(woman-9, a-8), conj:and(shirt-6, woman-9), case(shirt-13, in-10), det(shirt-13, a-11), amod(shirt-13, black-12), nmod:in(woman-9, shirt-13), acl(shirt-13, riding-14), det(motorcycle-16, a-15), dobj(riding-14, motorcycle-16), punct(man-2, .-17)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, wearing-3), dobj(wearing-3, jeans-4), punct(man-2, ,-5), det(shirt-8, a-6), amod(shirt-8, red-7), appos(man-2, shirt-8), acl(shirt-8, riding-9), det(motorcycle-11, a-10), dobj(riding-9, motorcycle-11), case(highway-14, on-12), det(highway-14, the-13), nmod:on(riding-9, highway-14), punct(man-2, .-15)] 	80
[nummod(men-2, Two-1), nsubj(searching-4, men-2), aux(searching-4, are-3), root(ROOT-0, searching-4), case(goods-7, for-5), amod(goods-7, canned-6), nmod:for(searching-4, goods-7)] 	[nummod(men-2, Two-1), root(ROOT-0, men-2), acl(men-2, peddling-3), dobj(peddling-3, vegetables-4), punct(men-2, .-5)] 	81
[det(man-4, A-1), amod(man-4, sharp-2), amod(man-4, looking-3), nsubj(cruising-6, man-4), aux(cruising-6, is-5), root(ROOT-0, cruising-6), case(sunshine-9, in-7), det(sunshine-9, the-8), nmod:in(cruising-6, sunshine-9), punct(cruising-6, .-10)] 	[det(man-2, A-1), nsubj(offers-3, man-2), csubj(high-10, offers-3), dobj(offers-3, tricks-4), case(bike-7, on-5), det(bike-7, a-6), nmod:on(offers-3, bike-7), cop(high-10, is-8), advmod(high-10, very-9), root(ROOT-0, high-10), case(air-13, in-11), det(air-13, the-12), nmod:in(high-10, air-13), punct(high-10, .-14)] 	82
[det(boy-2, a-1), nsubj(steals-3, boy-2), root(ROOT-0, steals-3), det(apple-5, an-4), dobj(steals-3, apple-5), advmod(steals-3, alone-6)] 	[det(man-2, A-1), root(ROOT-0, man-2), case(game-5, with-3), det(game-5, a-4), nmod:with(man-2, game-5), dep(game-5, someone-6), punct(man-2, .-7)] 	83
[det(woman-2, A-1), nsubj(training-4, woman-2), aux(training-4, is-3), root(ROOT-0, training-4), mark(shot-9, to-5), cop(shot-9, be-6), det(shot-9, an-7), amod(shot-9, expert-8), xcomp(training-4, shot-9), case(pistol-12, with-10), det(pistol-12, a-11), nmod:with(shot-9, pistol-12), punct(training-4, .-13)] 	[det(man-2, A-1), nsubj(uses-3, man-2), root(ROOT-0, uses-3), det(wheelchair-5, a-4), dobj(uses-3, wheelchair-5), acl(wheelchair-5, talking-6), case(field-9, in-7), det(field-9, a-8), nmod:in(talking-6, field-9), case(women-13, for-10), det(women-13, a-11), amod(women-13, few-12), nmod:for(talking-6, women-13), punct(uses-3, .-14)] 	84
[det(mother-2, A-1), nsubj(cutting-4, mother-2), aux(cutting-4, is-3), root(ROOT-0, cutting-4), dobj(cutting-4, fabric-5), case(squares-7, into-6), nmod:into(cutting-4, squares-7), case(quilt-10, for-8), det(quilt-10, a-9), nmod:for(squares-7, quilt-10), punct(cutting-4, .-11)] 	[det(woman-2, A-1), nsubj(cut-3, woman-2), root(ROOT-0, cut-3), compound:prt(cut-3, off-4), det(canvas-6, the-5), dobj(cut-3, canvas-6), punct(cut-3, .-7)] 	85
[det(boy-3, The-1), amod(boy-3, small-2), nsubj(sleeping-5, boy-3), aux(sleeping-5, is-4), root(ROOT-0, sleeping-5), punct(sleeping-5, .-6)] 	[expl(is-2, There-1), root(ROOT-0, is-2), det(boy-4, a-3), nsubj(is-2, boy-4), case(shoes-7, near-5), det(shoes-7, the-6), nmod:near(boy-4, shoes-7), punct(is-2, .-8)] 	86
[nsubj(goes-2, woman-1), root(ROOT-0, goes-2), compound(shopping-4, grocery-3), dobj(goes-2, shopping-4)] 	[compound(shopping-3, Woman-1), compound(shopping-3, grocery-2), root(ROOT-0, shopping-3)] 	87
[det(father-2, the-1), nsubj(plays-3, father-2), root(ROOT-0, plays-3), dobj(plays-3, catch-4), case(son-7, with-5), nmod:poss(son-7, his-6), nmod:with(plays-3, son-7)] 	[det(father-2, A-1), root(ROOT-0, father-2), cc(father-2, and-3), nmod:poss(sons-5, his-4), nsubj(play-6, sons-5), conj:and(father-2, play-6), dobj(play-6, basketball-7), punct(father-2, .-8)] 	88
[det(man-2, A-1), nsubj(cuts-3, man-2), root(ROOT-0, cuts-3), det(melon-5, a-4), dobj(cuts-3, melon-5), punct(cuts-3, .-6)] 	[det(man-2, A-1), nsubj(cut-3, man-2), root(ROOT-0, cut-3), det(cake-5, a-4), dobj(cut-3, cake-5), punct(cut-3, .-6)] 	89
[det(woman-3, An-1), amod(woman-3, asian-2), nsubj(stands-7, woman-3), case(microphone-6, with-4), det(microphone-6, a-5), nmod:with(woman-3, microphone-6), root(ROOT-0, stands-7), case(crowd-10, amongst-8), det(crowd-10, a-9), nmod:amongst(stands-7, crowd-10), case(hands-13, of-11), amod(hands-13, raised-12), nmod:of(crowd-10, hands-13), punct(stands-7, .-14)] 	[det(woman-2, A-1), root(ROOT-0, woman-2), acl(woman-2, standing-3), case(crowd-6, in-4), det(crowd-6, a-5), nmod:in(standing-3, crowd-6), case(people-8, of-7), nmod:of(crowd-6, people-8), case(Asia-10, in-9), nmod:in(people-8, Asia-10), punct(woman-2, .-11)] 	90
[nsubj(watching-3, She-1), aux(watching-3, is-2), root(ROOT-0, watching-3), det(movie-5, a-4), dobj(watching-3, movie-5), advmod(watching-3, inside-6), punct(watching-3, .-7)] 	[det(man-2, A-1), nsubj(sitting-3, man-2), root(ROOT-0, sitting-3), cc(sitting-3, and-4), conj:and(sitting-3, watching-5), det(movie-7, a-6), dobj(watching-5, movie-7), punct(sitting-3, .-8)] 	91
[nummod(dogs-3, two-1), amod(dogs-3, black-2), root(ROOT-0, dogs-3), case(beach-6, on-4), det(beach-6, the-5), nmod:on(dogs-3, beach-6)] 	[nummod(dogs-3, Three-1), amod(dogs-3, black-2), root(ROOT-0, dogs-3), case(beach-6, on-4), det(beach-6, the-5), nmod:on(dogs-3, beach-6), punct(dogs-3, .-7)] 	92
[det(man-2, The-1), nmod:poss(hands-4, man-2), case(man-2, 's-3), nsubj(full-6, hands-4), cop(full-6, are-5), root(ROOT-0, full-6), punct(full-6, .-7)] 	[nsubj(wore-2, Women-1), root(ROOT-0, wore-2), nmod:poss(hands-4, their-3), dobj(wore-2, hands-4), case(head-9, on-5), det(man-7, the-6), nmod:poss(head-9, man-7), case(man-7, 's-8), nmod:on(wore-2, head-9), punct(wore-2, .-10)] 	93
[root(ROOT-0, Humans-1), case(shirts-3, in-2), nmod:in(Humans-1, shirts-3), punct(Humans-1, .-4)] 	[nsubj(have-4, Dog-1), cc(Dog-1, and-2), conj:and(Dog-1, chicken-3), root(ROOT-0, have-4), det(colors-7, the-5), amod(colors-7, same-6), dobj(have-4, colors-7), punct(have-4, .-8)] 	94
[det(woman-2, A-1), nsubj(taking-4, woman-2), aux(taking-4, is-3), root(ROOT-0, taking-4), det(break-6, a-5), dobj(taking-4, break-6), mark(reading-8, from-7), advcl(taking-4, reading-8), nmod:poss(book-10, her-9), dobj(reading-8, book-10), punct(taking-4, .-11)] 	[det(woman-3, A-1), amod(woman-3, young-2), nsubj(takes-4, woman-3), root(ROOT-0, takes-4), det(photo-6, a-5), dobj(takes-4, photo-6), case(break-10, during-7), det(break-10, a-8), amod(break-10, short-9), nmod:during(takes-4, break-10), case(job-13, from-11), nmod:poss(job-13, her-12), nmod:from(break-10, job-13), case(waitress-16, as-14), det(waitress-16, a-15), nmod:as(takes-4, waitress-16), punct(takes-4, .-17)] 	95
[det(man-2, The-1), nsubj(waiting-4, man-2), aux(waiting-4, is-3), root(ROOT-0, waiting-4), case(someone-6, on-5), nmod:on(waiting-4, someone-6), case(building-9, by-7), det(building-9, the-8), nmod:by(waiting-4, building-9), punct(waiting-4, .-10)] 	[compound(building-3, Man-1), amod(building-3, standing-2), root(ROOT-0, building-3), mark(wait-5, to-4), acl(building-3, wait-5), case(someone-7, for-6), nmod:for(wait-5, someone-7), punct(building-3, .-8)] 	96
[det(man-2, A-1), nsubj(sleeping-4, man-2), aux(sleeping-4, is-3), root(ROOT-0, sleeping-4), mark(watches-8, while-5), det(woman-7, the-6), nsubj(watches-8, woman-7), advcl(sleeping-4, watches-8), advmod(watches-8, silently-9), punct(sleeping-4, .-10)] 	[det(sleeps-3, An-1), amod(sleeps-3, old-2), root(ROOT-0, sleeps-3), amod(sleeps-3, naked-4), case(own-7, on-5), nmod:poss(own-7, her-6), nmod:on(naked-4, own-7), punct(sleeps-3, .-8)] 	97
[det(man-2, A-1), nsubj(plays-3, man-2), root(ROOT-0, plays-3), dobj(plays-3, piano-4), case(shoes-7, with-5), nmod:poss(shoes-7, his-6), nmod:with(plays-3, shoes-7), punct(plays-3, .-8)] 	[det(man-2, A-1), nsubj(plays-3, man-2), root(ROOT-0, plays-3), det(violin-5, the-4), dobj(plays-3, violin-5), punct(plays-3, ,-6), advcl(plays-3, smiling-7), punct(plays-3, .-8)] 	98
[nummod(kids-2, Two-1), root(ROOT-0, kids-2), acl(kids-2, having-3), det(fight-6, a-4), compound(fight-6, snowball-5), dobj(having-3, fight-6), punct(kids-2, .-7)] 	[nummod(girls-2, Two-1), nsubj(padding-4, girls-2), amod(padding-4, Taataarcan-3), root(ROOT-0, padding-4), punct(padding-4, .-5)] 	99
[det(girl-2, A-1), nsubj(crying-4, girl-2), aux(crying-4, is-3), root(ROOT-0, crying-4), case(park-7, in-5), det(park-7, the-6), nmod:in(crying-4, park-7), punct(crying-4, .-8)] 	[det(baby-2, A-1), root(ROOT-0, baby-2), acl(baby-2, crying-3), case(garden-6, in-4), det(garden-6, the-5), nmod:in(crying-3, garden-6), punct(baby-2, .-7)] 	100
[det(man-2, The-1), nsubj(playing-4, man-2), aux(playing-4, is-3), root(ROOT-0, playing-4), det(round-6, a-5), dobj(playing-4, round-6), case(golf-8, of-7), nmod:of(round-6, golf-8), punct(playing-4, .-9)] 	[amod(man-2, Sad-1), root(ROOT-0, man-2), case(game-5, in-3), det(game-5, the-4), nmod:in(man-2, game-5), punct(man-2, .-6)] 	101
[det(canine-2, A-1), nsubj(field-6, canine-2), cop(field-6, is-3), case(field-6, in-4), det(field-6, the-5), root(ROOT-0, field-6), punct(field-6, .-7)] 	[det(man-2, The-1), root(ROOT-0, man-2), case(field-5, in-3), det(field-5, the-4), nmod:in(man-2, field-5), punct(man-2, .-6)] 	102
[det(biker-3, A-1), compound(biker-3, mountain-2), nsubj(jumps-4, biker-3), root(ROOT-0, jumps-4), case(fence-8, off-5), mwe(off-5, of-6), det(fence-8, a-7), nmod:off_of(jumps-4, fence-8), mark(going-10, while-9), advcl(jumps-4, going-10), advmod(going-10, downhill-11), punct(jumps-4, .-12)] 	[compound(man-2, Skater-1), root(ROOT-0, man-2), amod(incline-4, steeper-3), dep(man-2, incline-4), advmod(incline-4, sharply-5), punct(man-2, .-6)] 	103
[det(woman-2, A-1), nsubj(uses-3, woman-2), root(ROOT-0, uses-3), det(machine-8, a-4), amod(machine-8, high-5), compound(machine-8, tech-6), compound(machine-8, sewing-7), dobj(uses-3, machine-8), mark(make-10, to-9), advcl(uses-3, make-10), det(scarf-12, a-11), dobj(make-10, scarf-12)] 	[root(ROOT-0, Woman-1), acl(Woman-1, using-2), det(machine-5, a-3), amod(machine-5, sewing-4), dobj(using-2, machine-5), case(garment-7, for-6), nmod:for(machine-5, garment-7), punct(Woman-1, .-8)] 	104
[root(ROOT-0, Group-1), case(men-4, of-2), amod(men-4, black-3), nmod:of(Group-1, men-4), acl(men-4, loading-5), dobj(loading-5, luggage-6), case(top-9, onto-7), det(top-9, the-8), nmod:onto(loading-5, top-9), case(bus-12, of-10), det(bus-12, a-11), nmod:of(top-9, bus-12)] 	[det(group-2, A-1), nsubj(loading-6, group-2), case(men-4, of-3), nmod:of(group-2, men-4), aux(loading-6, are-5), root(ROOT-0, loading-6), det(goods-8, the-7), dobj(loading-6, goods-8), case(back-11, on-9), det(back-11, the-10), nmod:on(loading-6, back-11), case(car-14, of-12), det(car-14, the-13), nmod:of(back-11, car-14), punct(loading-6, .-15)] 	105
[det(artist-2, An-1), nsubj(drawing-3, artist-2), root(ROOT-0, drawing-3), punct(drawing-3, .-4)] 	[compound(paints-2, Artist-1), root(ROOT-0, paints-2), punct(paints-2, .-3)] 	106
[det(people-2, The-1), nsubj(standing-5, people-2), aux(standing-5, are-3), neg(standing-5, not-4), root(ROOT-0, standing-5), punct(standing-5, .-6)] 	[det(people-2, All-1), nsubj(standing-4, people-2), aux(standing-4, are-3), root(ROOT-0, standing-4), punct(standing-4, .-5)] 	107
[nummod(guys-2, Two-1), nsubj(having-4, guys-2), aux(having-4, are-3), root(ROOT-0, having-4), dobj(having-4, lunch-5), case(restaurant-9, in-6), det(restaurant-9, a-7), amod(restaurant-9, Chinese-8), nmod:in(having-4, restaurant-9), punct(having-4, .-10)] 	[nummod(women-2, Two-1), nsubj(waiting-3, women-2), root(ROOT-0, waiting-3), case(meal-6, for-4), det(meal-6, a-5), nmod:for(waiting-3, meal-6), case(restaurant-9, in-7), det(restaurant-9, a-8), nmod:in(meal-6, restaurant-9), punct(waiting-3, .-10)] 	108
[det(boy-2, A-1), nsubj(putting-4, boy-2), aux(putting-4, is-3), root(ROOT-0, putting-4), nmod:poss(socks-7, his-5), amod(socks-7, black-6), dobj(putting-4, socks-7), cc(socks-7, and-8), conj:and(socks-7, shoes-9), case(feet-12, on-10), nmod:poss(feet-12, his-11), nmod:on(putting-4, feet-12), punct(putting-4, .-13)] 	[amod(boy-2, Black-1), nsubj(take-3, boy-2), root(ROOT-0, take-3), compound:prt(take-3, off-4), nmod:poss(shoes-6, his-5), dobj(take-3, shoes-6), punct(take-3, .-7)] 	109
[det(man-2, The-1), nsubj(standing-4, man-2), aux(standing-4, is-3), root(ROOT-0, standing-4), case(sheep-8, next-5), mwe(next-5, to-6), det(sheep-8, a-7), nmod:next_to(standing-4, sheep-8), punct(standing-4, .-9)] 	[det(man-2, A-1), root(ROOT-0, man-2), amod(man-2, standing-3), case(dog-7, next-4), mwe(next-4, to-5), det(dog-7, a-6), nmod:next_to(standing-3, dog-7), punct(man-2, .-8)] 	110
[amod(man-2, Young-1), root(ROOT-0, man-2), case(shirt-5, in-3), amod(shirt-5, blue-4), nmod:in(man-2, shirt-5), acl(man-2, peering-6), case(bubble-10, through-7), det(bubble-10, a-8), amod(bubble-10, large-9), nmod:through(peering-6, bubble-10), punct(man-2, .-11)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, wearing-3), det(shirt-6, a-4), amod(shirt-6, white-5), dobj(wearing-3, shirt-6), cc(shirt-6, and-7), conj:and(shirt-6, sunglasses-8), advcl(wearing-3, staring-9), case(horizon-12, at-10), det(horizon-12, the-11), nmod:at(staring-9, horizon-12), punct(man-2, .-13)] 	111
[det(woman-2, A-1), nsubj(sits-3, woman-2), root(ROOT-0, sits-3), xcomp(sits-3, fanning-4), dobj(fanning-4, herself-5)] 	[det(woman-3, The-1), amod(woman-3, red-haired-2), nsubj(sitting-4, woman-3), root(ROOT-0, sitting-4), compound:prt(sitting-4, inside-5)] 	112
[det(figure-3, The-1), amod(figure-3, blow-up-2), nsubj(Marx-6, figure-3), cop(Marx-6, is-4), compound(Marx-6, Karl-5), root(ROOT-0, Marx-6), punct(Marx-6, .-7)] 	[det(panel-2, A-1), root(ROOT-0, panel-2), case(Einstein-5, of-3), compound(Einstein-5, Albert-4), nmod:of(panel-2, Einstein-5), case(bear-8, on-6), det(bear-8, a-7), nmod:on(panel-2, bear-8), punct(panel-2, .-9)] 	113
[det(worker-5, A-1), amod(worker-5, male-2), cc(male-2, and-3), conj:and(male-2, female-4), nsubj(whipping-7, worker-5), cop(whipping-7, is-6), root(ROOT-0, whipping-7), case(meal-10, up-8), det(meal-10, a-9), nmod:up(whipping-7, meal-10), punct(whipping-7, .-11)] 	[det(man-2, A-1), nsubj(offers-7, man-2), acl(man-2, wearing-3), amod(Luna-6, female-4), compound(Luna-6, food-5), dobj(wearing-3, Luna-6), root(ROOT-0, offers-7), xcomp(offers-7, rosy-8), punct(offers-7, .-9)] 	114
[nsubj(standing-3, Workers-1), aux(standing-3, are-2), root(ROOT-0, standing-3), case(tracks-6, near-4), det(tracks-6, the-5), nmod:near(standing-3, tracks-6), punct(standing-3, .-7)] 	[nummod(factors-2, Two-1), root(ROOT-0, factors-2), case(sun-5, in-3), det(sun-5, the-4), nmod:in(factors-2, sun-5)] 	115
